CONUM,CONAME,MARGIN,NTK,LOG(MAR),LOG(NTK),MNM,LOG(MNM),AMMKMNKZ,LOG(AMM),WINPARTY,TYPE1,TYPE2,TYPE3,RECTPOS,FLAG,,,,,,,,,,
562,Tambaram,36824,19494,4.57,4.29,22530,4.35,4207,3.62,DMK,NTK,MNM,AMMKMNKZ,2858,,,,,,,,,,,
565,Pappireddippatti,36943,7573,4.57,3.88,1729,3.24,15863,4.2,ADMK,NTK,MNM,AMMKMNKZ,2873,,,,,,,,,,,
568,Villivakkam,37237,10914,4.57,4.04,13364,4.13,0,4.57,DMK,NTK,MNM,AMMKMNKZ,2888,,,,,,,,,,,
571,Tiruppattur,37374,14571,4.57,4.16,0,4.57,7448,3.87,DMK,NTK,MNM,AMMKMNKZ,2903,,,,,,,,,,,
574,Mannargudi,37393,10438,4.57,4.02,1366,3.14,40481,4.61,DMK,NTK,MNM,AMMKMNKZ,2918,,,,,,,,,,,
577,Thiruvottiyur,37661,48597,4.58,4.69,7053,3.85,1417,3.15,DMK,NTK,MNM,AMMKMNKZ,2933,,,,,,,,,,,
580,Pallavaram,37783,21522,4.58,4.33,20774,4.32,0,4.58,DMK,NTK,MNM,AMMKMNKZ,2948,,,,,,,,,,,
583,Vilathikulam,38549,11828,4.59,4.07,1520,3.18,6657,3.82,DMK,NTK,MNM,AMMKMNKZ,2963,,,,,,,,,,,
586,Egmore,38768,6276,4.59,3.8,9990,4,0,4.59,DMK,NTK,MNM,AMMKMNKZ,2978,,,,,,,,,,,
589,Aruppukkottai,39034,12392,4.59,4.09,7638,3.88,0,4.59,DMK,NTK,MNM,AMMKMNKZ,2993,,,,,,,,,,,
592,Tiruppur (North),40102,23110,4.6,4.36,19602,4.29,0,4.6,ADMK,NTK,MNM,AMMKMNKZ,3008,,,,,,,,,,,
595,Alandur,40571,16522,4.61,4.22,21139,4.33,0,4.61,DMK,NTK,MNM,AMMKMNKZ,3023,,,,,,,,,,,
598,Thondamuthur,41630,8042,4.62,3.91,11606,4.06,1235,3.09,ADMK,NTK,MNM,AMMKMNKZ,3038,,,,,,,,,,,
601,Rishivandiyam,41728,12066,4.62,4.08,640,2.81,10387,4.02,DMK,NTK,MNM,AMMKMNKZ,3053,,,,,,,,,,,
604,Ambattur,42146,22701,4.62,4.36,22370,4.35,2631,3.42,DMK,NTK,MNM,AMMKMNKZ,3068,,,,,,,,,,,
607,Cumbum,42413,12347,4.63,4.09,4647,3.67,14536,4.16,DMK,NTK,MNM,AMMKMNKZ,3083,,,,,,,,,,,
610,Dr.Radhakrishnan Nagar,42479,20437,4.63,4.31,11198,4.05,1852,3.27,DMK,NTK,MNM,AMMKMNKZ,3098,,,,,,,,,,,
613,Sankarapuram,45963,9873,4.66,3.99,0,4.66,0,4.66,DMK,NTK,MNM,AMMKMNKZ,3113,,,,,,,,,,,
616,Thanjavur,47149,17366,4.67,4.24,9681,3.99,0,4.67,DMK,NTK,MNM,AMMKMNKZ,3128,,,,,,,,,,,
619,Madurai East,49604,17668,4.7,4.25,11993,4.08,6729,3.83,DMK,NTK,MNM,AMMKMNKZ,3143,,,,,,,,,,,
622,Thiruverumbur,49697,15719,4.7,4.2,14678,4.17,0,4.7,DMK,NTK,MNM,AMMKMNKZ,3158,,,,,,,,,,,
625,Thoothukkudi,50310,30937,4.7,4.49,10534,4.02,0,4.7,DMK,NTK,MNM,AMMKMNKZ,3173,,,,,,,,,,,
628,Ramanathapuram,50312,17062,4.7,4.23,1996,3.3,6776,3.83,DMK,NTK,MNM,AMMKMNKZ,3188,,,,,,,,,,,
631,Avanashi,50902,13256,4.71,4.12,8379,3.92,0,4.71,ADMK,NTK,MNM,AMMKMNKZ,3203,,,,,,,,,,,
634,Gummidipoondi,50938,11701,4.71,4.07,0,4.71,0,4.71,DMK,NTK,MNM,AMMKMNKZ,3218,,,,,,,,,,,
637,Thiruvarur,51174,26300,4.71,4.42,4068,3.61,0,4.71,DMK,NTK,MNM,AMMKMNKZ,3233,,,,,,,,,,,
640,Palayamkottai,52141,11665,4.72,4.07,8107,3.91,0,4.72,DMK,NTK,MNM,AMMKMNKZ,3248,,,,,,,,,,,
643,Thiruvaiyaru,53650,15820,4.73,4.2,0,4.73,37469,4.57,DMK,NTK,MNM,AMMKMNKZ,3263,,,,,,,,,,,
646,Tiruchirappalli (East),53797,14312,4.73,4.16,11396,4.06,9089,3.96,DMK,NTK,MNM,AMMKMNKZ,3278,,,,,,,,,,,
649,Perambur,54976,19821,4.74,4.3,17072,4.23,4042,3.61,DMK,NTK,MNM,AMMKMNKZ,3293,,,,,,,,,,,
652,Thiru-Vi-Ka-Nagar,55013,10921,4.74,4.04,9710,3.99,0,4.74,DMK,NTK,MNM,AMMKMNKZ,3308,,,,,,,,,,,
655,Avadi,55275,30087,4.74,4.48,17092,4.23,0,4.74,DMK,NTK,MNM,AMMKMNKZ,3323,,,,,,,,,,,
658,Omalur,55294,9416,4.74,3.97,2930,3.47,1202,3.08,ADMK,NTK,MNM,AMMKMNKZ,3338,,,,,,,,,,,
661,Killiyoor,55400,14571,4.74,4.16,0,4.74,1102,3.04,INC,NTK,MNM,AMMKMNKZ,3353,,,,,,,,,,,
664,Thalli,56226,3776,4.75,3.58,0,4.75,346,2.54,CPI,NTK,MNM,AMMKMNKZ,3368,,,,,,,,,,,
667,Madavaram,57071,27453,4.76,4.44,15877,4.2,7104,3.85,DMK,NTK,MNM,AMMKMNKZ,3383,,,,,,,,,,,
670,Manachanallur,59618,14443,4.78,4.16,1996,3.3,1631,3.21,DMK,NTK,MNM,AMMKMNKZ,3398,,,,,,,,,,,
673,Tirukkoyilur,59680,11620,4.78,4.07,0,4.78,0,4.78,DMK,NTK,MNM,AMMKMNKZ,3413,,,,,,,,,,,
676,Tiruchuli,60992,13787,4.79,4.14,1356,3.13,6441,3.81,DMK,NTK,MNM,AMMKMNKZ,3428,,,,,,,,,,,
679,Chepauk-Thiruvallikeni,69355,9193,4.84,3.96,0,4.84,1873,3.27,DMK,NTK,MNM,AMMKMNKZ,3443,,,,,,,,,,,
682,Kolathur,70384,11304,4.85,4.05,14210,4.15,1081,3.03,DMK,NTK,MNM,AMMKMNKZ,3458,,,,,,,,,,,
685,Tiruchirappalli (West),85109,15725,4.93,4.2,10546,4.02,0,4.93,DMK,NTK,MNM,AMMKMNKZ,3473,,,,,,,,,,,
688,Edappadi,93802,6626,4.97,3.82,1547,3.19,774,2.89,ADMK,NTK,MNM,AMMKMNKZ,3488,,,,,,,,,,,
691,Poonamallee,94110,29871,4.97,4.48,11927,4.08,8805,3.94,DMK,NTK,MNM,AMMKMNKZ,3503,,,,,,,,,,,
694,Tiruvannamalai,94673,13995,4.98,4.15,6246,3.8,2108,3.32,DMK,NTK,MNM,AMMKMNKZ,3518,,,,,,,,,,,
697,Ponneri,127541,19027,5.11,4.28,5394,3.73,2832,3.45,INC,NTK,MNM,AMMKMNKZ,3533,,,,,,,,,,,
700,Athoor,135571,17168,5.13,4.23,3241,3.51,3017,3.48,DMK,NTK,MNM,AMMKMNKZ,3548,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
